model,family,params,train_time_s,inf_time_s,model_size_kb,MAE,MAPE(%),MSE,RMSE,MSLE,RMSLE,R2,Adj_R2,n_test,n_features,timestamp
tcn_lstm_1,TCN-LSTM,29938,8.639,0.0137,122.9,0.4815900054074296,12.984780006961438,0.3753277101891498,0.6126399515124277,0.015520113573448544,0.12457974784630343,0.9016657470017388,0.8996171167309417,99,2,2026-09-03 17:29:12
tcn_lstm_2,TCN-LSTM,32882,9.564,0.0147,135.6,0.5074720825865389,13.598149126044209,0.41957978592881284,0.6477497865139076,0.01637502231176096,0.12796492609993163,0.8893615052757865,0.8870565366356987,99,2,2026-09-03 17:29:22
tcn_gru_1,TCN-GRU,26802,8.343,0.0132,110.7,0.52945518241208,16.00032578350128,0.46059988800410334,0.6786750975276044,0.02198076345956704,0.14825910919591767,0.8802864813272546,0.8777924496882391,99,2,2026-09-03 17:29:33
tcn_gru_2,TCN-GRU,28946,9.298,0.0136,120.2,0.4907275428471035,13.75134259822637,0.3857699300534948,0.6211037997416332,0.016541564596026154,0.1286140139954669,0.9005177233152295,0.8984451758842968,99,2,2026-09-03 17:29:42
lstm_gru_1,LSTM-GRU,27378,2.998,0.003,111.7,0.533041575232265,16.06945752402307,0.45884966072095834,0.6773844260986212,0.02113206538744329,0.14536872217723898,0.8810732995575308,0.8785956599649793,99,2,2026-09-03 17:29:47
lstm_gru_2,LSTM-GRU,29522,3.863,0.0037,121.2,0.5589528968801016,15.64670112442986,0.523073780762636,0.7232383982910725,0.0213019053768799,0.1459517227609181,0.8643653176361734,0.861539595086927,99,2,2026-09-03 17:29:51
xgboost,XGBoost,200,0.141,0.0018,363.2,0.08503549262471288,2.120879771715091,0.016812833481356402,0.12966431074646717,0.0006024442241227496,0.024544739235175216,0.9953984446280877,0.9951078200782827,102,6,2026-09-03 17:29:59
tcn_gnn,TCN-GNN,2106,3.545,0.0051,14.3,0.2730302614747635,7.109679731058917,0.14692089173084938,0.38330261117144687,0.005094758492588855,0.07137757695935647,0.9586053430938739,0.9559056915565178,99,6,2026-09-03 17:36:30
cnn_lstm_1,CNN-LSTM,13554,1.858,0.0027,57.3,0.4776257423357337,12.883271654133138,0.39169928552872235,0.6258588383403421,0.015480449889965078,0.1244204560752173,0.8982889120079027,0.8961699310080674,99,2,2026-09-03 17:48:57
cnn_lstm_2,CNN-LSTM,16498,2.423,0.0022,69.9,0.47671322287272444,12.539501062674994,0.38266716289701774,0.6186009722729328,0.014043252933223355,0.11850423171019403,0.9010507395294662,0.8989892966029968,99,2,2026-09-03 17:48:59
ann_1,ANN,2674,0.359,0.0004,13.2,0.6160377288485441,17.992094459264106,0.605180745145234,0.7779336380085605,0.0256191357441111,0.16005978802969564,0.8444828366817494,0.8412428957792858,99,2,2026-09-04 01:09:06
ann_2,ANN,4242,0.336,0.0004,19.7,0.6003175290787053,18.098755467625033,0.581630734791803,0.7626471889358821,0.02605760763704444,0.1614236898260117,0.8503009041680396,0.8471821730048738,99,2,2026-09-04 01:09:07
ann_3,ANN,4514,0.391,0.0004,21.2,0.5319589800152634,13.962557264172698,0.4491459246728082,0.6701835007464808,0.016879569882653402,0.12992139886351825,0.8839433409199864,0.8815254938558195,99,2,2026-09-04 01:09:07
